Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_2095,c_2,c_1,c_2,c_5,0.9742,0.084759064
model_2096,c_2,c_3,m_1,c_11,0.9626,0.13073069
model_2097,c_6,c_8,c_2,c_5,0.9721,0.08347017
model_2098,c_7,m_1,c_11,m_1,0.9487,0.17520888
model_2099,c_8,c_11,c_6,c_2,0.9735,0.08038753
model_2100,c_9,m_2,m_1,c_10,0.9356,0.24751738
model_2101,c_10,c_11,m_2,c_9,0.9613,0.13162045
model_2102,c_10,m_3,c_4,c_11,0.9181,0.26563627
model_2103,c_7,c_1,c_11,c_7,0.9751,0.08217712
model_2104,c_9,c_7,c_12,s,0.9733,0.083778985
model_2105,c_7,m_1,c_5,c_1,0.9482,0.17571613
model_2106,c_9,c_1,m_2,c_7,0.9596,0.13847584
model_2107,c_11,c_7,c_2,c_10,0.9746,0.080252916
model_2108,m_3,c_7,c_4,c_7,0.8537,0.46874332
model_2109,c_4,c_3,c_6,c_11,0.9715,0.09029028
model_2110,c_1,c_6,c_6,c_11,0.9742,0.0823953
model_2111,m_1,c_2,c_6,c_11,0.9373,0.20931177
model_2112,c_6,c_2,c_3,c_7,0.9733,0.08267086
model_2113,c_9,c_7,c_5,c_8,0.9724,0.08285082
model_2114,c_11,c_10,c_12,c_10,0.9742,0.08649303
model_2115,c_8,c_8,m_3,c_5,0.9644,0.12306961
model_2116,c_11,c_6,c_4,c_11,0.9739,0.08470171
model_2117,c_3,c_10,c_11,c_4,0.9732,0.083407894
model_2118,c_7,c_7,m_3,s,0.9496,0.17272663
model_2119,c_3,c_8,c_9,c_11,0.9732,0.08566214
model_2120,c_7,c_3,c_7,m_2,0.9724,0.08667619
model_2121,m_1,m_3,m_3,c_2,0.1135,2.3010452
model_2122,m_2,c_5,c_4,c_3,0.9286,0.2354815
model_2123,c_10,c_5,c_6,c_4,0.9745,0.08271586
model_2124,m_3,m_2,m_1,c_7,0.341,2.0698051
model_2125,c_5,c_7,c_11,s,0.973,0.08639866
model_2126,m_3,c_4,c_7,c_4,0.8553,0.4630704
model_2127,c_3,m_2,c_10,c_12,0.9549,0.15572679
model_2128,c_6,c_5,c_11,c_11,0.9748,0.081148624
model_2129,c_8,c_2,c_5,c_3,0.9727,0.08618884
model_2130,m_2,c_6,m_2,c_12,0.9166,0.3075209
model_2131,c_11,c_8,c_5,c_4,0.9717,0.0867768
model_2132,c_11,c_12,c_5,c_9,0.9721,0.086663805
model_2133,c_5,c_3,c_5,c_1,0.9724,0.08862585
model_2134,c_3,c_3,c_6,c_12,0.9729,0.08916625
model_2135,m_3,c_1,c_10,m_1,0.8575,0.4528228
model_2136,c_5,c_7,c_3,c_4,0.9735,0.082584575
model_2137,c_11,c_2,m_1,c_10,0.9619,0.13333102
model_2138,c_4,c_1,c_2,c_6,0.9751,0.080612235
model_2139,c_12,c_1,c_7,c_10,0.9741,0.08243737
model_2140,c_3,m_3,m_1,m_3,0.9323,0.27354515
model_2141,c_3,c_6,c_6,s,0.9718,0.08393665
model_2142,m_1,c_10,c_8,c_7,0.9362,0.21039675
model_2143,c_7,c_8,c_9,c_1,0.9748,0.08192
model_2144,m_3,c_10,c_7,c_1,0.8575,0.45631596
model_2145,m_2,c_8,c_3,c_6,0.9336,0.21821575
model_2146,c_2,m_2,c_12,m_2,0.9505,0.16424188
model_2147,c_3,c_11,c_7,c_6,0.9713,0.08673932
model_2148,m_3,m_3,c_11,c_7,0.4166,1.7712182
model_2149,c_6,c_9,c_8,c_10,0.9718,0.08546277
model_2150,m_3,c_3,c_2,c_9,0.8557,0.4692237
model_2151,c_1,c_8,c_1,m_1,0.9739,0.08089464
model_2152,c_9,c_6,c_3,c_1,0.9733,0.08751288
model_2153,c_10,c_2,c_4,c_7,0.9731,0.08398533
model_2154,c_4,c_7,c_12,m_1,0.9736,0.079052754
model_2155,m_2,c_7,m_3,c_5,0.8581,0.5438791
model_2156,c_10,c_3,m_1,c_5,0.9586,0.1409024
model_2157,c_12,c_11,m_3,m_2,0.9633,0.120842695
model_2158,c_3,c_12,m_2,c_8,0.9658,0.113227665
model_2159,m_1,c_3,c_2,c_6,0.9348,0.21279986
model_2160,c_6,c_5,c_10,c_12,0.9741,0.08500782
model_2161,c_6,m_3,c_9,c_6,0.96,0.13477866
model_2162,c_2,c_4,c_3,m_3,0.9742,0.081529886
model_2163,c_1,c_6,c_8,c_3,0.9741,0.07862547
model_2164,c_7,c_7,m_3,m_3,0.948,0.17394768
model_2165,c_11,c_1,c_6,m_2,0.9711,0.09062529
model_2166,c_12,m_3,c_2,s,0.9514,0.16363867
model_2167,c_10,c_7,m_1,c_11,0.9587,0.1451257
model_2168,m_3,c_12,c_9,c_8,0.8573,0.46062744
model_2169,m_3,m_1,c_9,c_4,0.6059,1.2155353
model_2170,c_1,c_6,m_2,c_1,0.963,0.12775351
model_2171,c_2,c_5,c_12,c_12,0.9741,0.07959704
model_2172,c_5,m_1,c_4,c_4,0.951,0.16750795
model_2173,c_10,c_12,c_10,m_1,0.9715,0.08866506
model_2174,c_1,c_10,c_8,c_10,0.9739,0.07870758
model_2175,c_12,c_12,c_5,c_7,0.9703,0.08971251
model_2176,c_2,c_10,c_1,c_8,0.9736,0.083653145
model_2177,c_11,c_3,m_2,c_3,0.9646,0.12184966
