EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS
episode_395,c_10,c_12,s,-,0.9784,0.071574606
episode_395,c_10,c_12,s,-,0.9769,0.072449245
episode_396,m_3,c_12,c_3,c_4,0.8697,0.40194154
episode_397,c_2,m_2,c_1,s,0.9669,0.10810112
episode_398,c_4,c_2,c_10,c_6,0.9811,0.057485797
episode_399,c_7,m_2,c_5,c_6,0.9649,0.115992256
episode_400,c_8,c_9,c_4,c_5,0.979,0.064162634
episode_401,c_10,c_1,c_2,c_8,0.9789,0.06282502
episode_402,c_5,c_9,c_10,c_11,0.9801,0.06020983
episode_403,c_3,m_1,c_7,c_9,0.9686,0.105837494
episode_404,c_3,m_2,m_3,m_3,0.9422,0.22276781
episode_405,c_12,c_6,s,-,0.9772,0.074119575
episode_405,c_12,c_6,s,-,0.9777,0.07299524
episode_405,c_12,c_6,s,-,0.9768,0.07466102
episode_406,c_5,c_6,c_11,c_7,0.9798,0.06445872
episode_407,c_2,c_9,m_1,c_11,0.9742,0.083324656
episode_408,c_10,c_2,m_3,c_8,0.9792,0.07224163
episode_409,c_7,c_1,c_3,c_3,0.9811,0.059130065
