Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_543,c_9,m_1,c_7,c_10,0.7182,0.8651227851867676
model_544,c_1,c_4,c_9,c_7,0.697,0.9077306471824645
model_545,c_11,c_1,m_3,m_1,0.7262,0.811176595878601
model_546,c_2,c_1,c_6,c_3,0.721,0.8416725678443908
model_547,c_10,c_12,c_2,m_2,0.7284,0.7759120544433594
model_548,c_6,c_12,c_1,c_8,0.7212,0.8423475908279419
model_549,c_2,m_1,c_4,c_3,0.7203,0.8345713787078858
model_550,c_11,c_6,c_7,m_3,0.7393,0.7592977126121521
model_551,c_10,c_5,c_5,c_6,0.7502,0.7856599946022034
model_552,c_4,c_1,c_4,m_1,0.7063,0.8537296184539795
model_553,c_10,c_1,c_1,s,0.678,0.9409360253334046
model_554,c_7,c_1,s,-,0.6927,0.8959290362358093
model_555,c_5,c_8,c_12,m_3,0.7169,0.827530029964447
model_556,c_7,c_4,c_1,c_12,0.7328,0.8202132906913757
model_557,c_4,c_8,c_11,c_5,0.7092,0.8474438705444336
model_558,c_6,m_3,c_5,m_3,0.6974,0.8770744407653809
model_559,c_10,c_12,c_3,s,0.7365,0.7831371753692628
model_560,c_11,c_2,c_7,m_3,0.734,0.7726964994430542
model_561,c_4,c_3,m_3,c_12,0.7679,0.6934339582443237
model_562,c_10,c_6,c_10,c_6,0.7075,0.8981566717147828
model_563,c_3,c_3,c_9,c_9,0.6872,0.9683933245658874
model_564,m_2,c_11,c_5,c_8,0.6882,0.98658219165802
model_565,c_5,c_12,m_3,c_4,0.755,0.7208019188880921
model_566,c_10,c_12,c_1,c_7,0.7234,0.8085517867088318
model_567,c_12,c_1,c_10,s,0.7286,0.8009406403541565
model_568,m_1,c_3,c_8,s,0.6981,0.8838760381698608
model_569,c_1,c_6,c_1,m_3,0.7088,0.8393553136825561
model_570,c_10,c_10,c_7,s,0.7072,0.8545269934654236
model_571,c_2,c_4,c_3,c_6,0.7268,0.8753977382659912
model_572,c_5,c_10,c_6,s,0.717,0.8283129026412964
model_573,c_9,c_11,m_3,c_9,0.7804,0.6454612291812897
model_574,c_12,c_6,c_3,s,0.7058,0.8814715021133422
model_575,c_12,c_10,c_4,c_1,0.7426,0.7869093408584594
model_576,c_9,c_12,c_7,m_2,0.7123,0.8602349383354188
model_577,c_8,c_3,c_6,c_4,0.7235,0.8117756887435913
model_578,c_2,c_5,m_3,c_8,0.7278,0.7953279351234436
model_579,c_3,c_4,c_2,m_2,0.7082,0.8348408707618713
model_580,c_6,c_7,c_9,c_8,0.7109,0.8781814267158509
model_581,c_7,m_1,c_4,c_1,0.7028,0.8705081627845764
model_582,c_1,c_1,m_2,c_8,0.7232,0.80603281955719
model_583,c_4,c_1,c_12,c_9,0.7313,0.8185031921386718
model_584,m_2,c_6,s,-,0.6567,0.9775770565032958
model_585,c_11,c_8,c_10,m_1,0.7218,0.8112955082893372
model_586,c_1,c_5,c_6,c_6,0.713,0.8591792757034302
model_587,c_8,m_2,c_7,c_4,0.7247,0.8160656819343567
model_588,c_9,m_2,m_2,c_2,0.7149,0.8308344696998596
model_589,c_9,c_4,c_9,c_12,0.7475,0.769630162525177
model_590,m_3,c_10,c_7,c_7,0.6776,0.97022601146698
model_591,c_5,m_2,c_8,c_3,0.7447,0.7732150638580322
model_592,c_10,c_12,c_9,c_4,0.767,0.7280291381835937
model_593,c_12,c_5,c_9,s,0.7271,0.8067157065868378
model_594,c_8,c_2,c_6,c_6,0.7421,0.7755582386016846
model_595,m_3,c_8,c_11,c_4,0.6688,0.984196743106842
model_596,c_4,m_1,m_3,c_4,0.6914,0.9267254697799683
model_597,c_2,c_1,c_12,m_1,0.7334,0.7851588393211365
model_598,c_2,c_5,c_6,c_9,0.7358,0.8000666542053223
model_599,c_6,c_7,c_3,c_10,0.6914,0.9151867539405822
model_600,c_7,c_4,c_1,c_7,0.7322,0.8172239340782166
model_601,c_10,c_5,c_5,c_4,0.718,0.8690554668426513
model_602,c_6,c_1,c_9,c_8,0.7144,0.8482629574775696
model_603,c_8,c_9,c_1,c_9,0.7069,0.8652172821044922
model_604,c_3,m_1,c_11,c_4,0.7547,0.7368902137756348
model_605,c_5,m_1,c_1,c_12,0.7396,0.7882127807617187
model_606,c_1,c_3,m_2,c_11,0.7583,0.7639938902854919
model_607,c_8,m_2,c_5,m_2,0.7553,0.7279487278938294
model_608,c_4,c_9,m_1,m_2,0.7405,0.7544102171897888
model_609,c_3,c_4,m_3,m_1,0.7094,0.8489835494995117
model_610,c_11,c_1,c_11,s,0.7246,0.8354182667732238
model_611,c_2,c_9,c_5,c_11,0.7326,0.8474498041629791
model_612,c_2,c_3,c_3,c_7,0.6972,0.9558325523376465
model_613,m_2,m_2,c_9,s,0.6511,0.9934359270095825
model_614,c_11,c_5,m_3,c_11,0.7665,0.7025257262229919
model_615,c_10,c_5,m_2,c_3,0.7303,0.8128446429252625
model_616,c_3,c_2,m_3,c_6,0.7307,0.7829747207641602
model_617,c_4,c_9,c_1,c_9,0.7131,0.8409836168289184
model_618,c_1,c_8,c_4,c_8,0.7032,0.8926340030670166
model_619,c_3,c_5,c_12,c_8,0.7461,0.7895703684806824
model_620,c_5,c_11,c_10,c_6,0.716,0.8336110062599182
model_621,c_12,c_2,c_3,m_3,0.7358,0.771064171886444
model_622,c_4,c_5,c_4,c_7,0.6909,0.9258806195259094
model_623,c_10,m_2,m_2,m_1,0.7312,0.8291637848854065
model_624,c_8,c_6,m_2,c_7,0.7194,0.853489364528656
model_625,c_5,c_8,s,-,0.7114,0.8497379333496093
model_626,c_11,c_5,c_7,c_7,0.6933,0.9505916556358337
model_627,c_4,m_1,m_2,c_6,0.7382,0.7873152376174927
model_628,c_2,m_1,c_11,c_8,0.751,0.7672568353652954
model_629,c_12,c_9,c_10,c_3,0.7353,0.7889003453254699
model_630,c_4,c_4,m_3,m_1,0.7237,0.8246011817932128
model_631,c_10,c_4,c_2,c_2,0.731,0.7900092338562011
model_632,c_4,c_11,s,-,0.6618,0.9843284395217895
model_633,c_3,c_10,c_1,c_9,0.7367,0.848840385723114
model_634,c_2,c_6,m_3,c_1,0.7385,0.7883651655197144
