EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS
episode_357,c_5,c_8,c_10,c_6,0.7365,0.7655745142
episode_358,c_5,m_3,c_2,m_1,0.7,0.8703105069
episode_359,c_10,m_1,c_2,c_7,0.7293,0.8125205677
episode_360,c_3,c_2,c_2,s,0.6632,1.0329476385
episode_361,c_4,c_1,c_12,c_9,0.7313,0.8185031921
episode_362,c_12,c_7,c_3,c_11,0.7443,0.76898256
episode_362,c_12,c_7,c_3,c_11,0.7339,0.8264411401
episode_363,m_3,c_7,c_9,c_11,0.6365,1.0793765797
episode_364,c_3,c_8,c_1,c_8,0.7367,0.7818339939
episode_365,c_1,m_2,c_8,m_1,0.7114,0.8350722327
episode_366,c_9,c_3,c_10,m_2,0.73,0.7984536236
episode_367,m_3,c_2,c_5,s,0.6294,1.0746108093
episode_368,c_7,m_3,c_3,m_1,0.714,0.8305894013
episode_369,c_4,m_1,c_8,c_2,0.7384,0.7869864388
episode_370,c_10,m_2,m_2,m_1,0.7312,0.8291637849
episode_371,c_7,c_9,c_11,c_11,0.7496,0.7627056499
episode_372,c_6,s,-,-,0.6857,0.9753169553
episode_372,c_6,s,-,-,0.6819,0.9241568215
episode_372,c_6,s,-,-,0.7093,0.8762780273
episode_373,c_1,c_1,c_12,c_4,0.7258,0.8162831419
episode_374,c_2,c_7,c_6,c_10,0.7456,0.7559400081
episode_375,c_2,m_2,c_10,s,0.6766,0.9373821104
episode_376,c_4,m_3,c_11,c_2,0.7642,0.7047302073
episode_377,c_4,m_2,m_3,c_6,0.6772,0.922512601
episode_378,c_12,c_10,c_8,c_9,0.7564,0.7773288469
episode_379,c_8,c_2,m_3,c_12,0.775,0.6638746689
episode_380,c_9,m_3,m_3,s,0.7449,0.763525558
episode_381,c_8,m_1,c_5,c_1,0.7402,0.764419029
episode_382,c_4,c_7,c_11,m_1,0.7291,0.8230801157
episode_383,c_1,c_5,m_1,c_5,0.7384,0.8316090661
episode_384,c_7,c_3,c_12,c_12,0.7637,0.7293676155
episode_385,c_4,m_1,m_1,c_5,0.6768,0.9115274363
episode_386,c_11,c_8,c_12,c_10,0.7457,0.7899988498
episode_387,c_11,c_2,c_8,m_3,0.6865,0.9093677519
episode_388,c_10,c_10,c_9,c_1,0.7295,0.8125290442
episode_389,c_2,s,-,-,0.6772,0.9486585265
episode_389,c_2,s,-,-,0.6899,0.9436688982
episode_390,c_7,c_6,c_2,c_7,0.7085,0.8946623439
episode_391,c_9,c_1,c_10,m_2,0.6978,0.8862281027
episode_392,c_9,c_7,c_7,c_2,0.725,0.8405429071
episode_393,c_5,c_11,c_12,c_12,0.7507,0.756385662
episode_394,c_1,c_9,s,-,0.707,0.8873637054
episode_394,c_1,c_9,s,-,0.7025,0.8917335058
episode_395,c_8,c_6,m_1,m_3,0.7281,0.8073756664
episode_396,c_9,c_7,c_8,m_2,0.7246,0.8283968492
episode_397,c_7,c_11,c_7,c_2,0.7527,0.7452207472
