Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_236,c_4,m_3,c_6,m_1,0.7222,0.7988788994789123
model_237,c_6,m_3,c_10,c_1,0.747,0.7651273912429809
model_238,c_4,c_10,c_12,c_10,0.7483,0.7395920904159546
model_239,c_10,c_2,c_2,c_4,0.7191,0.8437972074508667
model_240,c_11,m_2,m_1,c_5,0.7301,0.8007798052787781
model_241,c_1,c_2,c_3,c_12,0.7321,0.794019183731079
model_242,c_12,c_6,m_2,m_3,0.7548,0.726847455406189
model_243,c_5,c_9,c_10,c_11,0.7234,0.8455004056930542
model_244,c_5,c_8,c_5,c_11,0.7263,0.8041749397277832
model_245,c_9,c_1,c_3,c_1,0.7096,0.8549804555892945
model_246,c_2,c_3,m_2,c_8,0.7331,0.8007754823684693
model_247,c_5,c_5,c_2,c_6,0.7226,0.8180536951065064
model_248,c_5,c_7,s,-,0.7177,0.861860297203064
model_249,c_10,c_4,s,-,0.6833,0.9204417837142944
model_250,c_2,s,-,-,0.6772,0.9486585265159607
model_251,c_1,c_12,c_10,s,0.715,0.8593596406936646
model_252,c_3,c_2,c_9,c_9,0.7277,0.8106830916404724
model_253,c_6,c_12,c_10,c_1,0.7263,0.8209459282875061
model_254,c_4,c_4,c_6,c_9,0.7343,0.7852920550346375
model_255,c_3,c_10,m_3,c_5,0.7688,0.6811581784248352
model_256,c_6,c_6,c_2,c_3,0.7386,0.7668985802650452
model_257,c_2,c_11,c_8,s,0.7228,0.8396051744461059
model_258,c_1,c_2,c_6,m_2,0.7257,0.7972460643768311
model_259,c_3,m_1,m_3,c_6,0.7122,0.8533174118995667
model_260,c_10,c_1,c_9,c_4,0.7404,0.7800953094482422
model_261,c_5,c_4,c_2,c_7,0.6924,0.8891858988761902
model_262,c_8,c_11,c_6,c_11,0.7186,0.8301504920959473
model_263,c_7,c_10,c_3,m_2,0.7386,0.756870091342926
model_264,c_7,c_9,c_2,c_7,0.7322,0.8090004246711731
model_265,m_3,c_4,c_10,c_10,0.6823,0.9788202216148376
model_266,c_4,c_5,c_5,c_1,0.7206,0.8243237475395203
model_267,c_4,c_4,c_5,c_2,0.6982,0.875068805885315
model_268,c_3,c_4,s,-,0.702,0.8667628728866578
model_269,c_8,m_1,c_2,c_2,0.7277,0.808553834438324
model_270,c_6,m_3,c_9,c_11,0.7832,0.6501892401218414
model_271,c_10,c_10,c_3,m_2,0.7397,0.7786503798484802
model_272,c_12,c_11,m_1,c_1,0.7324,0.8387976050376892
model_273,c_9,m_3,c_3,c_7,0.7577,0.7443834921836853
model_274,c_8,m_3,c_2,c_5,0.7455,0.7687329579353332
model_275,c_1,s,-,-,0.6824,0.9222057565689087
model_276,c_10,c_10,c_11,c_2,0.7278,0.8390043968200683
model_277,c_3,c_6,c_8,c_9,0.7079,0.8786627818107605
model_278,c_7,c_9,c_7,c_1,0.7338,0.7934334148406983
model_279,c_2,c_2,c_7,c_5,0.688,0.9089412265777588
model_280,c_5,m_2,c_1,c_4,0.7257,0.8326614142417907
model_281,c_1,c_6,c_8,m_1,0.7274,0.793037055015564
model_282,c_12,c_10,m_1,c_4,0.7283,0.8608305835723877
model_283,c_2,m_1,s,-,0.6753,0.9746115292549133
model_284,c_2,c_8,c_8,s,0.712,0.8558863319396973
